القطاعات,الأضرار  ,العدد,نسبة الضرر,,شرح التصميم
الأضرار في قطاع البيئي,القنابل التي ألقيت على قطاع غزة بالطن,,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,متوسط القنابل لكل كم2,"70,000",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,القنابل تعادل بالقنابل النووية,192,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي, أنقاض مخلفات الحرب والردم بالطن,5,,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي, النفايات الصلبة بالطن,"25,864,446",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع البيئي,المخلفات الطبية بالطن,"1,757,929",,,بند متفرع عن البند الرئيسي 1
الأضرار في قطاع الحكم الرشيد,وجود خطة تشاركية للإغاثة وإعادة الإعمار والتنمية,799,,,
الأضرار في قطاع الحكم الرشيد,منشآت الدفاع المدني المتضررة ,16.7%,83.3%,,
الأضرار في قطاع الحكم الرشيد,آليات الدفاع المدني المتضررة,13,72.22%,,
الأضرار في قطاع الحكم الرشيد,آليات البلديات المتضررة,80,66.67%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات المياه المستمرة خلال العدوان,472,71.52%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات معالجة مياه الصرف الصحي المستمرة خلال العدوان,20%,80%,,
الأضرار في قطاع الحكم الرشيد,نسبة خدمات جمع النفايات الصلبة المستمرة خلال العدوان,0.00%,100%,,
الأضرار في قطاع الحكم الرشيد,نسبة وصول الإغاثة إلى المتضررين,20%,80%,,
