م.,القطاع الرئيسي,القطاع الفرعي,ملخص الأضرار,أهم تدخلات الإغاثة والتعافي,الإغاثة,التعافي,التنمية,الإجمالي
10,قطاع البنية التحتية,الطاقة,"حجم أضرار شبكات الكهرباء 312096981 دولار،  وتضررت 8876 وحدة طاقة شمسية، وتضررات 104 مولدات الطاقة ومحطات الوقود،  وتضرر محطة الكهرباء المركزية.",إعادة تأهيل شبكات الكهرباء ووحدات الطاقة الشمسية ومولدات الطاقة وإعادة تأهيل وتشغيل محطة الكهرباء المركزية,"60,000,000","1,015,467,981","446,700,000","1,522,167,981"
11,قطاع البنية التحتية,النفايات والمخلفات,"حجم الردم الناتج عن العدوان 25697578 طن،  النفايات الصلبة 1757929 طن،  المخلفات الطبية 799 طن.","إزالة ومعالجة أنقاض العدوان، والنفايات الصلبة والمخلفات الطبية",0,"280,260,425","22,000,000","302,260,425"
12,القطاع الإقتصادي,التشغيل,عدد الذين فقدوا أعمالهم نتيجة العدوان  393000.,"إعادة تأهيل وتشغيل العمالة، وتوفير فرص العمل المحلية وعن بعد","707,400,000","84,214,286","404,491,000","1,196,105,286"
13,القطاع الإقتصادي,التجارة والخدمات,"المنشآت التجارية المتضررة 18139،  الأسواق الشعبية المتضررة 16،  البنوك المتضررة 9.",إعادة تأهيل وترميم المنشآت التجارية المتضررة والأسواق الشعبية المتضررة والبنوك المتضررة,"35,501,400","814,000,000","155,000,000","1,004,501,400"
14,القطاع الإقتصادي,الزراعة,"الأراضي الزراعية المتضررة 75152 دونم،  المزارعين المتضررين 6271،  ميناء صيد متضرر 2 ،  مراكب الصيد المتضررة 173.","إعادة استصلاح الأراضي الزراعية المتضررة، وتأهيل موانئ الصيد ومراكب الصيادين","15,280,200","48,390,952","60,583,000","124,254,152"
15,القطاع الإقتصادي,الصناعة,"المنشآت الصناعية المتضررة 4547،  المخابز المتضررة 29،  مطاحن الدقيق المتضررة .",إعادة تأهيل المنشآت الصناعية المتضررة والمخابز المتضررة ومطاحن الدقيق,"3,819,600","848,900,000","27,500,000","880,219,600"
16,قطاع الحكم الرشيد,الإدارة العامة,"عدم وجود خطة وطنية تشاركية لإعادة الإعمار،  وكذلك خطة وطنية تشاركية تنموية،  نسبة الرواتب التي حصل عليها موظفي حكومة غزة 0.1،  وموظفي حكومة رام الله 0.44.","إعداد خطة وطنية تشاركية لإعادة الإعمار وخطة وطنية تشاركية للتنمية بعد إعادة الإعمار، توفير رواتب وبدل إجازات للموظفين الحكوميين","575,104,500","12,460,000",0,"587,564,500"
17,قطاع الحكم الرشيد,الحوكمة المحلية,"آليات البلديات المتضررة 472،  نسبة خدمات المياه المتبقية 0.2،  نسبة خدمات مياه الصرف الصحي المتبقية 0 نسبة خدمات النفايات الصلبية المتبقية 0.2.","توفير وإصلاح آليات البلديات المتضررة، واستعادة خدمات المياه والصرف الصحي وخدمات النفايات الصلبة","16,145,000","20,240,000",0,"36,385,000"
18,قطاع الحكم الرشيد,سيادة القانون وحقوق الإنسان,"عدد انتهاكات الاحتلال المرصودة 0،  عدد الانتهاكات التي تم التحقيق فيها 0،  عدد الدعاوى المرفوعة ضد الاحتلال 135.","توثيق انتهاكات الاحتلال قانونيا، ورفع قضايا قضائية ضده ومتابعتها","29,533,000",0,0,"29,533,000"
19,قطاع الحكم الرشيد,التنفيذ والتنسيق,"نسبة إنجاز تقييم الأضرار الأولي 0.5،  نسبة إنجاز التقييم النهائي للأضرار 0.1،  نسبة التقدم في تنفيذه إعادة الإعمار وتنفيذ البرامج والمشاريع التنموية 0.",إنجاز التقييم الأولي والنهائي للأضرار والتقدم في تقييم التقدم في إعادة الإعمار,"1,000,000",0,0,"1,000,000"
20,قطاع الحكم الرشيد,التأهب للكوارث والأزمات,"منشآت الدفاع المدني المتضررة 13،  آليات الدفاع المدني المتضررة 80،  نسبة كفاية مخزون المواد الغذائية 0.1،  نسبة وصول الإغاثة للمتضررين 0.4.","إعادة إعمار وترميم منشآت الدفاع المدني المتضررة، وتوفير وإصلاح آليات الدفاع المدني المتضررة، توفير مخزون كافي من المواد الغذائية ووصول الإغاثة إلى جميع المتضررين","12,840,000","8,531,845","84,000,000","105,371,845"
